Product,Value,Location,Time
Cookie,82,Canberra,Afternoon
Pie,58,Perth,Morning
Banana,86,Canberra,Afternoon
Pie,73,Canberra,Afternoon
Orange,39,Melbourne,Afternoon
Fish,17,Perth,Morning
Orange,97,Perth,Afternoon
Pie,29,Melbourne,Afternoon
Chicken,82,Melbourne,Morning
Orange,67,Brisbane,Afternoon
Cookie,92,Sydney,Afternoon
Orange,68,Perth,Morning
Carrot,84,Canberra,Morning
Carrot,15,Brisbane,Afternoon
Chicken,20,Canberra,Afternoon
Tomato,53,Melbourne,Morning
Banana,11,Melbourne,Morning
Fish,38,Sydney,Afternoon
Tomato,47,Sydney,Afternoon
Soap,50,Melbourne,Afternoon
Tomato,68,Melbourne,Afternoon
Banana,7,Perth,Afternoon
Cookie,44,Sydney,Afternoon
Soap,80,Melbourne,Afternoon
Banana,87,Perth,Morning
Shampoo,26,Melbourne,Morning
Shampoo,30,Sydney,Afternoon
Banana,26,Brisbane,Afternoon
Soap,76,Perth,Afternoon
Pie,5,Sydney,Morning
Orange,26,Brisbane,Afternoon
Pie,74,Perth,Morning
Carrot,33,Perth,Morning
Tomato,46,Sydney,Morning
Fish,91,Sydney,Morning
Shampoo,73,Perth,Morning
Fish,38,Sydney,Morning
Banana,37,Sydney,Afternoon
Tomato,23,Brisbane,Afternoon
Banana,96,Melbourne,Afternoon
Shampoo,54,Brisbane,Afternoon
Cookie,81,Canberra,Morning
Shampoo,85,Perth,Afternoon
Carrot,20,Melbourne,Afternoon
Pie,89,Melbourne,Morning
Shampoo,82,Canberra,Afternoon
Shampoo,98,Perth,Afternoon
Banana,93,Melbourne,Afternoon
Banana,71,Sydney,Afternoon
Orange,12,Sydney,Afternoon
Chicken,40,Sydney,Morning
Cookie,67,Canberra,Morning
Carrot,82,Canberra,Morning
Orange,99,Sydney,Morning
Tomato,34,Sydney,Morning
Fish,82,Melbourne,Morning
Carrot,14,Sydney,Afternoon
Cookie,33,Sydney,Morning
Pie,33,Brisbane,Afternoon
Carrot,98,Melbourne,Afternoon
Shampoo,41,Canberra,Morning
Tomato,87,Perth,Afternoon
Fish,22,Melbourne,Morning
Fish,27,Sydney,Morning
Soap,13,Melbourne,Afternoon
Orange,85,Sydney,Afternoon
Fish,47,Canberra,Afternoon
Fish,5,Brisbane,Morning
Soap,92,Canberra,Morning
Shampoo,28,Perth,Morning
Carrot,21,Brisbane,Morning
Carrot,26,Melbourne,Morning
Soap,83,Perth,Afternoon
Pie,85,Melbourne,Morning
Carrot,75,Sydney,Morning
Orange,27,Perth,Afternoon
Pie,32,Melbourne,Morning
Soap,99,Melbourne,Morning
Soap,88,Melbourne,Afternoon
Pie,40,Canberra,Afternoon
Carrot,63,Melbourne,Morning
Tomato,50,Canberra,Afternoon
Carrot,58,Perth,Afternoon
Orange,6,Canberra,Afternoon
Tomato,49,Brisbane,Morning
Pie,86,Perth,Morning
Pie,77,Perth,Afternoon
Tomato,78,Melbourne,Afternoon
Shampoo,88,Melbourne,Afternoon
Banana,65,Perth,Morning
Fish,16,Canberra,Morning
Chicken,55,Melbourne,Morning
Fish,81,Sydney,Morning
Tomato,88,Canberra,Morning
Soap,51,Sydney,Morning
Chicken,46,Sydney,Morning
Chicken,25,Perth,Afternoon
Fish,32,Melbourne,Morning
Fish,82,Sydney,Morning
Chicken,40,Perth,Afternoon
Pie,8,Melbourne,Morning
Pie,9,Brisbane,Morning
Shampoo,30,Melbourne,Afternoon
Chicken,7,Perth,Morning
Tomato,60,Sydney,Afternoon
Carrot,40,Canberra,Morning
Carrot,54,Melbourne,Morning
Shampoo,30,Perth,Morning
Chicken,46,Canberra,Morning
Tomato,10,Brisbane,Morning
Shampoo,61,Sydney,Afternoon
Chicken,36,Perth,Morning
Soap,14,Melbourne,Afternoon
Soap,97,Sydney,Morning
Soap,33,Sydney,Morning
Fish,56,Canberra,Morning
Pie,49,Perth,Afternoon
Banana,43,Melbourne,Afternoon
Tomato,45,Melbourne,Morning
Pie,12,Brisbane,Morning
Shampoo,27,Sydney,Morning
Tomato,14,Perth,Morning
Fish,40,Canberra,Morning
Pie,91,Sydney,Morning
Fish,17,Perth,Morning
Chicken,63,Perth,Morning
Carrot,63,Perth,Afternoon
Tomato,99,Melbourne,Afternoon
Tomato,66,Melbourne,Afternoon
Chicken,17,Brisbane,Afternoon
Shampoo,40,Sydney,Afternoon
Tomato,11,Brisbane,Morning
Cookie,97,Perth,Afternoon
Fish,26,Sydney,Morning
Tomato,39,Brisbane,Afternoon
Banana,62,Brisbane,Afternoon
Chicken,91,Sydney,Morning
Cookie,27,Brisbane,Morning
Chicken,40,Perth,Morning
Banana,61,Sydney,Morning
Chicken,9,Perth,Afternoon
Cookie,99,Canberra,Afternoon
Carrot,49,Canberra,Morning
Shampoo,90,Melbourne,Afternoon
Cookie,16,Brisbane,Afternoon
Banana,75,Canberra,Morning
Cookie,14,Sydney,Morning
Tomato,17,Sydney,Afternoon
Orange,67,Melbourne,Morning
Fish,71,Brisbane,Morning
Shampoo,51,Melbourne,Afternoon
Chicken,59,Sydney,Morning
Pie,86,Melbourne,Afternoon
Shampoo,86,Sydney,Morning
Pie,43,Perth,Morning
Banana,39,Canberra,Afternoon
Tomato,93,Perth,Afternoon
Tomato,78,Brisbane,Morning
Banana,17,Melbourne,Afternoon
Fish,82,Sydney,Afternoon
Orange,87,Canberra,Afternoon
Carrot,78,Sydney,Afternoon
Orange,28,Melbourne,Afternoon
Soap,90,Perth,Morning
Banana,18,Melbourne,Morning
Orange,26,Perth,Morning
Shampoo,24,Canberra,Morning
Shampoo,46,Brisbane,Afternoon
Pie,61,Brisbane,Afternoon
Fish,70,Sydney,Afternoon
Chicken,26,Melbourne,Afternoon
Cookie,89,Perth,Morning
Shampoo,25,Canberra,Afternoon
Carrot,92,Melbourne,Morning
Pie,70,Melbourne,Afternoon
Chicken,11,Canberra,Afternoon
Carrot,16,Melbourne,Morning
Orange,78,Melbourne,Morning
Soap,30,Sydney,Afternoon
Shampoo,39,Perth,Afternoon
Orange,79,Canberra,Afternoon
Tomato,72,Melbourne,Morning
Shampoo,51,Sydney,Afternoon
Chicken,90,Brisbane,Afternoon
Fish,39,Sydney,Morning
Carrot,34,Canberra,Afternoon
Pie,83,Melbourne,Morning
Orange,22,Canberra,Morning
Orange,85,Perth,Afternoon
Pie,22,Melbourne,Afternoon
Orange,70,Canberra,Morning
Soap,52,Canberra,Afternoon
Orange,42,Sydney,Morning
Soap,39,Canberra,Afternoon
Orange,62,Canberra,Afternoon
Shampoo,64,Brisbane,Afternoon
Fish,44,Canberra,Afternoon
Pie,97,Sydney,Afternoon
Pie,69,Melbourne,Afternoon
Fish,39,Melbourne,Morning
Tomato,45,Perth,Afternoon
Soap,30,Melbourne,Morning
Banana,19,Brisbane,Morning
Banana,39,Canberra,Morning
Fish,15,Sydney,Afternoon
Orange,67,Perth,Morning
Shampoo,18,Canberra,Morning
Soap,68,Canberra,Afternoon
Cookie,98,Melbourne,Afternoon
Pie,87,Brisbane,Morning
Tomato,30,Melbourne,Morning
Chicken,86,Brisbane,Morning
Cookie,22,Sydney,Afternoon
Cookie,40,Brisbane,Afternoon
Tomato,96,Perth,Morning
Soap,70,Perth,Afternoon
Orange,96,Canberra,Morning
Banana,86,Brisbane,Morning
Fish,22,Canberra,Morning
Orange,39,Melbourne,Afternoon
Pie,41,Brisbane,Afternoon
Shampoo,82,Melbourne,Afternoon
Banana,91,Sydney,Afternoon
Cookie,48,Melbourne,Afternoon
Shampoo,49,Canberra,Morning
Fish,72,Perth,Afternoon
Chicken,50,Brisbane,Afternoon
Pie,21,Sydney,Morning
Pie,34,Canberra,Morning
Fish,14,Perth,Morning
Carrot,70,Melbourne,Morning
Carrot,35,Melbourne,Afternoon
Orange,86,Sydney,Afternoon
Fish,57,Melbourne,Morning
Chicken,32,Brisbane,Morning
Soap,82,Canberra,Morning
Shampoo,30,Melbourne,Afternoon
Banana,30,Canberra,Morning
Orange,9,Brisbane,Afternoon
Cookie,88,Brisbane,Afternoon
Orange,35,Perth,Afternoon
Chicken,43,Perth,Morning
Banana,10,Perth,Morning
Pie,67,Perth,Afternoon
Pie,26,Sydney,Morning
Carrot,65,Melbourne,Morning
Fish,69,Perth,Morning
Shampoo,53,Brisbane,Morning
Pie,36,Canberra,Afternoon
Fish,33,Brisbane,Morning
Carrot,73,Perth,Afternoon
Tomato,50,Melbourne,Morning
Shampoo,97,Perth,Morning
Shampoo,53,Brisbane,Afternoon
Carrot,17,Sydney,Morning
Orange,17,Sydney,Morning
Chicken,53,Brisbane,Afternoon
Carrot,54,Brisbane,Morning
Cookie,12,Sydney,Morning
Fish,44,Perth,Morning
Pie,13,Brisbane,Afternoon
Chicken,21,Canberra,Morning
Chicken,24,Canberra,Morning
Carrot,47,Canberra,Afternoon
Tomato,23,Perth,Afternoon
Chicken,78,Melbourne,Morning
Carrot,80,Sydney,Afternoon
Pie,13,Brisbane,Afternoon
Chicken,6,Perth,Afternoon
Fish,49,Sydney,Morning
Tomato,73,Melbourne,Morning
Shampoo,79,Melbourne,Afternoon
Cookie,22,Canberra,Afternoon
Cookie,8,Perth,Afternoon
Orange,93,Melbourne,Afternoon
Banana,89,Canberra,Morning
Carrot,78,Perth,Afternoon
Chicken,13,Melbourne,Afternoon
Pie,42,Sydney,Afternoon
Cookie,79,Perth,Afternoon
Chicken,10,Melbourne,Afternoon
Shampoo,15,Sydney,Afternoon
Orange,60,Canberra,Morning
Pie,69,Sydney,Afternoon
Chicken,47,Perth,Afternoon
Chicken,25,Sydney,Afternoon
Tomato,63,Perth,Morning
Cookie,70,Canberra,Afternoon
Chicken,76,Brisbane,Morning
Fish,28,Perth,Morning
Carrot,69,Sydney,Afternoon
Orange,22,Melbourne,Afternoon
Shampoo,10,Brisbane,Morning
Banana,9,Canberra,Morning
Banana,64,Canberra,Afternoon
Banana,70,Sydney,Morning
Fish,67,Perth,Morning
Fish,37,Sydney,Morning
Pie,45,Perth,Afternoon
Carrot,17,Perth,Afternoon
Fish,8,Melbourne,Morning
Cookie,51,Brisbane,Afternoon
Carrot,42,Perth,Morning
Fish,96,Brisbane,Afternoon
Chicken,85,Canberra,Afternoon
Soap,71,Canberra,Morning
Pie,90,Brisbane,Morning
Cookie,54,Perth,Afternoon
Shampoo,55,Sydney,Afternoon
Orange,51,Brisbane,Afternoon
Tomato,88,Perth,Morning
Fish,27,Sydney,Morning
Tomato,43,Canberra,Morning
Banana,16,Brisbane,Afternoon
Orange,90,Perth,Morning
Banana,23,Brisbane,Afternoon
Orange,17,Melbourne,Afternoon
Tomato,76,Sydney,Afternoon
Cookie,81,Brisbane,Morning
Banana,72,Brisbane,Afternoon
Tomato,50,Melbourne,Morning
Fish,84,Brisbane,Afternoon
Chicken,84,Sydney,Afternoon
Cookie,82,Canberra,Morning
Pie,34,Perth,Afternoon
Cookie,52,Sydney,Morning
Soap,94,Brisbane,Morning
Shampoo,90,Brisbane,Afternoon
Fish,8,Sydney,Afternoon
Banana,21,Canberra,Morning
Cookie,57,Brisbane,Morning
Soap,57,Melbourne,Afternoon
Chicken,8,Brisbane,Afternoon
Fish,82,Canberra,Afternoon
Orange,98,Brisbane,Morning
Cookie,10,Perth,Afternoon
Banana,25,Sydney,Morning
Orange,94,Canberra,Afternoon
Carrot,83,Perth,Afternoon
Pie,90,Sydney,Afternoon
Orange,57,Sydney,Afternoon
Carrot,99,Sydney,Afternoon
Banana,56,Canberra,Afternoon
Carrot,63,Perth,Morning
Pie,44,Sydney,Afternoon
Fish,9,Perth,Afternoon
Soap,81,Canberra,Morning
Pie,6,Melbourne,Afternoon
Soap,58,Canberra,Afternoon
Banana,41,Brisbane,Afternoon
Cookie,53,Brisbane,Afternoon
Soap,100,Sydney,Morning
Shampoo,100,Canberra,Morning
Orange,22,Canberra,Morning
Shampoo,58,Melbourne,Afternoon
Tomato,80,Melbourne,Morning
Banana,50,Melbourne,Morning
Pie,70,Canberra,Afternoon
Chicken,60,Sydney,Morning
Banana,77,Melbourne,Afternoon
Fish,86,Canberra,Morning
Orange,40,Canberra,Morning
Chicken,67,Sydney,Morning
Fish,77,Sydney,Afternoon
Carrot,79,Perth,Afternoon
Banana,59,Brisbane,Morning
Carrot,51,Sydney,Morning
Pie,6,Perth,Afternoon
Tomato,46,Perth,Morning
Shampoo,53,Canberra,Afternoon
Soap,7,Brisbane,Afternoon
Fish,64,Canberra,Afternoon
Cookie,60,Brisbane,Morning
Tomato,94,Melbourne,Morning
Carrot,26,Canberra,Afternoon
Soap,97,Melbourne,Afternoon
Pie,32,Melbourne,Afternoon
Cookie,46,Melbourne,Morning
Pie,87,Melbourne,Morning
Cookie,40,Melbourne,Afternoon
Cookie,38,Perth,Morning
Tomato,41,Sydney,Afternoon
Tomato,11,Perth,Afternoon
Carrot,72,Melbourne,Morning
Carrot,87,Melbourne,Afternoon
Orange,62,Perth,Afternoon
Tomato,44,Canberra,Morning
Chicken,98,Brisbane,Afternoon
Chicken,58,Brisbane,Afternoon
Shampoo,93,Melbourne,Afternoon
Orange,94,Brisbane,Afternoon
Tomato,51,Melbourne,Afternoon
Shampoo,88,Perth,Morning
Fish,37,Brisbane,Morning
Cookie,17,Melbourne,Morning
Soap,39,Perth,Morning
Carrot,49,Sydney,Afternoon
Shampoo,23,Canberra,Morning
Cookie,55,Perth,Morning
Tomato,39,Canberra,Morning
Banana,9,Sydney,Morning
Pie,49,Melbourne,Afternoon
Chicken,58,Perth,Afternoon
Banana,9,Sydney,Afternoon
Pie,29,Canberra,Afternoon
Cookie,24,Canberra,Morning
Pie,87,Canberra,Morning
Tomato,30,Perth,Afternoon
Shampoo,71,Sydney,Morning
Soap,7,Sydney,Afternoon
Shampoo,56,Melbourne,Afternoon
Banana,38,Sydney,Afternoon
Pie,74,Melbourne,Afternoon
Banana,37,Perth,Afternoon
Pie,47,Brisbane,Afternoon
Fish,29,Sydney,Morning
Banana,27,Perth,Afternoon
Pie,99,Canberra,Afternoon
Cookie,26,Sydney,Morning
Fish,34,Perth,Afternoon
Orange,41,Brisbane,Afternoon
Chicken,8,Brisbane,Afternoon
Chicken,12,Perth,Morning
Soap,57,Melbourne,Morning
Soap,51,Melbourne,Afternoon
Chicken,61,Brisbane,Morning
Carrot,14,Brisbane,Afternoon
Carrot,81,Melbourne,Afternoon
Pie,93,Sydney,Afternoon
Pie,7,Canberra,Afternoon
Orange,41,Canberra,Afternoon
Chicken,50,Perth,Morning
Soap,77,Brisbane,Afternoon
Fish,87,Sydney,Afternoon
Banana,95,Canberra,Morning
Soap,86,Perth,Afternoon
Soap,39,Brisbane,Afternoon
Cookie,11,Canberra,Morning
Carrot,52,Brisbane,Morning
Fish,62,Perth,Morning
Shampoo,69,Canberra,Morning
Fish,74,Melbourne,Afternoon
Chicken,73,Melbourne,Morning
Tomato,32,Canberra,Afternoon
Pie,15,Perth,Morning
Tomato,16,Brisbane,Afternoon
Pie,73,Canberra,Afternoon
Soap,39,Melbourne,Morning
Cookie,55,Melbourne,Afternoon
Pie,44,Brisbane,Afternoon
Shampoo,71,Melbourne,Morning
Shampoo,73,Melbourne,Morning
Tomato,88,Perth,Morning
Shampoo,23,Melbourne,Morning
Tomato,70,Melbourne,Afternoon
Orange,10,Canberra,Afternoon
Cookie,12,Brisbane,Morning
Pie,8,Canberra,Afternoon
Tomato,8,Canberra,Morning
Cookie,17,Sydney,Morning
Cookie,56,Canberra,Morning
Tomato,21,Perth,Morning
Shampoo,73,Melbourne,Morning
Fish,16,Canberra,Afternoon
Cookie,78,Perth,Morning
Banana,15,Canberra,Afternoon
Orange,72,Canberra,Morning
Soap,39,Canberra,Afternoon
Fish,59,Brisbane,Morning
Fish,44,Sydney,Afternoon
Shampoo,99,Brisbane,Morning
Pie,61,Canberra,Afternoon
Tomato,14,Sydney,Afternoon
Pie,26,Sydney,Morning
Soap,64,Brisbane,Afternoon
Soap,98,Perth,Morning
Soap,87,Sydney,Morning
Tomato,56,Melbourne,Afternoon
Shampoo,100,Canberra,Afternoon
Orange,14,Brisbane,Morning
Cookie,10,Perth,Morning
Fish,21,Perth,Morning
Soap,48,Perth,Afternoon
Carrot,18,Perth,Morning
Soap,55,Melbourne,Afternoon
Fish,29,Melbourne,Afternoon
Fish,74,Brisbane,Afternoon
Pie,37,Perth,Afternoon
Pie,79,Brisbane,Morning
Banana,75,Canberra,Morning
Pie,50,Brisbane,Afternoon
Cookie,83,Canberra,Morning
Shampoo,50,Perth,Afternoon
Shampoo,59,Sydney,Afternoon
Banana,12,Melbourne,Afternoon
Banana,66,Canberra,Morning
Soap,81,Canberra,Morning
Chicken,35,Melbourne,Afternoon
Carrot,11,Brisbane,Afternoon
Chicken,51,Brisbane,Afternoon
Fish,27,Brisbane,Afternoon
Carrot,37,Melbourne,Morning
Soap,22,Perth,Morning
Fish,34,Perth,Morning
Pie,91,Canberra,Morning
Shampoo,63,Perth,Morning
Pie,57,Canberra,Morning
Carrot,42,Canberra,Morning
Fish,96,Perth,Morning
Pie,15,Melbourne,Afternoon
Tomato,76,Melbourne,Afternoon
Fish,64,Perth,Morning
Cookie,68,Perth,Afternoon
Pie,48,Perth,Morning
Tomato,23,Perth,Afternoon
Pie,98,Sydney,Afternoon
Carrot,41,Melbourne,Afternoon
Tomato,94,Canberra,Morning
Banana,92,Brisbane,Morning
Fish,99,Perth,Morning
Carrot,44,Melbourne,Afternoon
Tomato,33,Canberra,Afternoon
Shampoo,15,Melbourne,Afternoon
Tomato,95,Brisbane,Morning
Carrot,23,Perth,Afternoon
Cookie,43,Canberra,Morning
Banana,39,Melbourne,Morning
Pie,35,Perth,Morning
Cookie,25,Brisbane,Afternoon
Soap,7,Perth,Morning
Carrot,20,Melbourne,Afternoon
Shampoo,83,Melbourne,Afternoon
Fish,22,Perth,Morning
Soap,8,Melbourne,Morning
Fish,76,Brisbane,Morning
Soap,27,Canberra,Morning
Banana,10,Canberra,Afternoon
Soap,33,Melbourne,Morning
Soap,85,Sydney,Morning
Chicken,54,Canberra,Morning
Orange,7,Brisbane,Morning
Tomato,70,Perth,Afternoon
Tomato,27,Perth,Afternoon
Soap,97,Perth,Afternoon
Shampoo,35,Perth,Afternoon
Banana,65,Canberra,Morning
Fish,65,Perth,Morning
Soap,39,Canberra,Morning
Tomato,63,Sydney,Morning
Shampoo,37,Brisbane,Afternoon
Cookie,5,Canberra,Afternoon
Shampoo,64,Canberra,Afternoon
Cookie,49,Sydney,Afternoon
Fish,55,Sydney,Morning
Pie,6,Melbourne,Afternoon
Chicken,13,Brisbane,Morning
Fish,89,Canberra,Morning
Cookie,95,Sydney,Morning
Orange,28,Perth,Afternoon
Orange,63,Melbourne,Morning
Chicken,77,Melbourne,Morning
Carrot,94,Melbourne,Morning
Cookie,76,Perth,Morning
Carrot,85,Brisbane,Morning
Orange,86,Perth,Afternoon
Orange,16,Brisbane,Morning
Chicken,86,Sydney,Morning
Tomato,11,Canberra,Morning
Cookie,48,Canberra,Morning
Fish,70,Sydney,Morning
Tomato,63,Melbourne,Afternoon
Orange,53,Sydney,Morning
Fish,59,Melbourne,Afternoon
Cookie,41,Sydney,Morning
Fish,94,Sydney,Morning
Shampoo,38,Brisbane,Morning
Tomato,12,Canberra,Morning
Fish,26,Perth,Afternoon
Orange,27,Melbourne,Morning
Fish,48,Melbourne,Afternoon
Cookie,100,Perth,Afternoon
Tomato,9,Brisbane,Afternoon
Orange,20,Canberra,Afternoon
Chicken,99,Canberra,Afternoon
Soap,21,Perth,Afternoon
Fish,34,Canberra,Morning
Soap,97,Perth,Afternoon
Soap,11,Perth,Afternoon
Shampoo,71,Perth,Afternoon
Banana,20,Sydney,Morning
