customer,age,gender,salary,shirt_size,location,marital_status,transport,education
65,43,Male,61406,S,Brisbane,Married,Train,Secondary
66,50,Male,42174,M,Perth,Divorced,Bus,PhD
67,28,Male,15398,S,Melbourne,Single,Car,Masters
68,34,Male,48932,M,Perth,Single,Bus,Masters
69,46,Male,51675,M,Perth,Married,Train,Secondary
70,36,Female,48767,L,Brisbane,Married,Car,Secondary
71,58,Female,19351,M,Brisbane,Married,Train,Secondary
72,45,Male,98090,M,Perth,Divorced,Bicycle,Masters
73,52,Male,36687,M,Melbourne,Divorced,Bus,PhD
74,37,Male,32054,L,Brisbane,Married,Train,Masters
75,20,Female,39671,S,Melbourne,Married,Car,Bachelor
76,35,Female,21546,L,Perth,Married,Car,Masters
77,47,Female,23502,M,Brisbane,Divorced,Bicycle,Masters
78,39,Male,85677,S,Melbourne,Single,Bicycle,Masters
79,60,Male,62612,S,Sydney,Married,Bicycle,PhD
80,58,Male,83591,L,Perth,Single,Train,Bachelor
81,23,Male,13172,M,Sydney,Single,Car,Masters
82,23,Male,49469,L,Sydney,Single,Bicycle,Masters
83,51,Male,70929,L,Brisbane,Single,Car,Secondary
84,21,Male,38483,S,Perth,Married,Bus,PhD
85,29,Female,64479,S,Melbourne,Divorced,Bus,PhD
86,29,Female,26664,L,Melbourne,Single,Bus,Bachelor
87,38,Male,87713,S,Brisbane,Single,Train,Secondary
88,30,Female,89120,L,Melbourne,Married,Bicycle,Masters
89,52,Male,80438,S,Sydney,Divorced,Train,PhD
90,19,Female,52844,L,Melbourne,Divorced,Bicycle,Bachelor
91,33,Female,60323,L,Brisbane,Married,Car,PhD
92,21,Male,49995,L,Sydney,Single,Car,PhD
93,49,Male,73226,L,Melbourne,Married,Bus,Bachelor
94,56,Male,42417,M,Brisbane,Married,Bicycle,Secondary
95,56,Male,58727,M,Perth,Single,Train,Secondary
96,20,Female,31537,S,Brisbane,Married,Bus,Bachelor
97,26,Female,32045,M,Melbourne,Married,Train,Masters
98,36,Male,60018,M,Melbourne,Divorced,Train,PhD
99,34,Male,94678,M,Sydney,Divorced,Bicycle,Bachelor
100,27,Male,66490,S,Brisbane,Married,Train,PhD
101,44,Female,66326,S,Perth,Divorced,Train,Bachelor
102,25,Male,17989,L,Perth,Divorced,Train,Masters
103,36,Female,88680,L,Perth,Single,Bicycle,PhD
104,32,Female,82529,L,Brisbane,Single,Bicycle,Bachelor
105,55,Male,91825,L,Sydney,Divorced,Train,Masters
106,23,Male,79044,L,Melbourne,Single,Bus,PhD
107,22,Female,80139,M,Brisbane,Single,Car,Bachelor
108,22,Female,23719,M,Sydney,Married,Bicycle,PhD
109,35,Female,30103,L,Brisbane,Married,Car,PhD
110,49,Female,37501,L,Melbourne,Single,Bicycle,Secondary
111,33,Female,73423,S,Brisbane,Divorced,Train,Secondary
112,58,Male,20644,L,Sydney,Divorced,Train,PhD
113,22,Male,82362,S,Melbourne,Divorced,Train,PhD
114,32,Female,46323,L,Brisbane,Divorced,Train,Masters
115,25,Male,70389,S,Melbourne,Married,Car,Bachelor
116,29,Female,16412,L,Brisbane,Single,Bicycle,Masters
117,34,Female,21504,L,Brisbane,Single,Car,Secondary
118,19,Male,66928,S,Sydney,Single,Bicycle,Masters
119,45,Male,68018,M,Perth,Single,Bicycle,Masters
120,46,Female,26358,S,Perth,Divorced,Train,Masters
121,20,Female,98107,S,Perth,Divorced,Bus,Bachelor
122,30,Male,48945,S,Perth,Married,Car,Secondary
123,56,Male,67018,S,Melbourne,Divorced,Train,Bachelor
124,28,Male,94697,S,Sydney,Single,Train,Bachelor
125,25,Male,34878,M,Brisbane,Single,Bus,PhD
126,26,Male,73007,S,Perth,Divorced,Train,Masters
127,34,Female,67084,L,Melbourne,Single,Train,Secondary
128,27,Female,87167,L,Melbourne,Married,Train,PhD
129,60,Female,84399,S,Perth,Married,Bus,Bachelor
130,52,Male,70008,M,Brisbane,Single,Train,Secondary
131,57,Male,92282,M,Melbourne,Divorced,Bicycle,Masters
132,58,Female,87815,S,Melbourne,Single,Bicycle,PhD
133,25,Female,52297,L,Perth,Married,Bus,Masters
134,29,Female,39623,M,Melbourne,Single,Bus,Bachelor
135,33,Female,18241,S,Perth,Married,Bicycle,Secondary
136,33,Female,70360,L,Melbourne,Single,Bus,Masters
137,60,Female,80281,M,Perth,Single,Car,Secondary
138,43,Female,66826,S,Perth,Single,Bus,Secondary
139,46,Female,70743,L,Perth,Single,Train,PhD
140,18,Female,20927,S,Melbourne,Divorced,Train,PhD
141,49,Female,70166,M,Melbourne,Divorced,Train,PhD
142,26,Female,81745,M,Sydney,Divorced,Train,Bachelor
143,56,Male,30331,L,Brisbane,Single,Bicycle,Bachelor
144,60,Female,97327,L,Sydney,Single,Train,Secondary
145,40,Male,74352,S,Sydney,Divorced,Train,Masters
146,23,Male,35778,L,Sydney,Single,Car,Masters
147,25,Female,86128,L,Melbourne,Married,Train,Masters
148,22,Female,35359,S,Brisbane,Single,Train,Bachelor
149,50,Male,15245,S,Brisbane,Single,Bus,Masters
150,57,Female,48500,S,Brisbane,Single,Train,PhD
151,35,Male,58188,L,Sydney,Married,Bicycle,Masters
152,60,Female,97017,L,Melbourne,Married,Bicycle,Masters
153,44,Male,63159,L,Sydney,Single,Train,Masters
154,35,Female,73502,S,Brisbane,Married,Bus,Bachelor
155,42,Male,72077,M,Brisbane,Married,Bicycle,Masters
156,50,Female,49793,L,Perth,Married,Train,Bachelor
157,42,Male,95983,L,Sydney,Single,Bus,Secondary
158,44,Female,30864,L,Perth,Married,Car,Secondary
159,50,Male,24981,M,Brisbane,Married,Train,PhD
160,32,Male,20040,S,Brisbane,Married,Bus,Secondary
161,55,Male,91292,M,Perth,Married,Train,Bachelor
162,60,Female,55033,L,Melbourne,Divorced,Bus,PhD
163,46,Female,77004,S,Sydney,Married,Train,Bachelor
164,22,Male,43792,S,Sydney,Married,Train,Masters
165,38,Female,82407,S,Sydney,Single,Train,Secondary
166,28,Male,49007,M,Brisbane,Married,Train,Secondary
167,27,Female,42020,S,Brisbane,Single,Bus,Secondary
168,55,Male,53684,M,Brisbane,Single,Bus,Secondary
169,57,Male,76843,S,Brisbane,Married,Bus,PhD
170,31,Male,87751,S,Perth,Married,Bicycle,Masters
171,35,Female,53097,L,Sydney,Married,Car,Masters
172,21,Male,96800,S,Sydney,Married,Train,Secondary
173,24,Female,33887,M,Perth,Single,Car,Secondary
174,34,Female,79405,S,Melbourne,Single,Train,Masters
175,28,Male,28546,S,Melbourne,Married,Car,Bachelor
176,19,Female,22402,L,Brisbane,Divorced,Bus,Secondary
177,56,Female,82291,M,Brisbane,Single,Bus,Bachelor
178,59,Male,14281,L,Sydney,Divorced,Train,Secondary
179,46,Male,69219,M,Sydney,Single,Bus,Secondary
180,24,Female,52526,L,Sydney,Divorced,Car,PhD
181,29,Female,73496,S,Perth,Divorced,Bus,PhD
182,56,Male,42859,M,Melbourne,Single,Train,Secondary
183,29,Female,43553,S,Brisbane,Divorced,Bus,Bachelor
184,23,Male,53094,M,Sydney,Single,Bus,Bachelor
185,18,Female,99442,L,Perth,Divorced,Bus,Masters
186,53,Female,58721,S,Melbourne,Divorced,Car,Secondary
187,51,Female,30778,M,Perth,Divorced,Bicycle,Masters
188,47,Female,78329,M,Brisbane,Divorced,Bus,Bachelor
189,37,Male,60746,M,Brisbane,Single,Bicycle,PhD
190,32,Female,69040,L,Brisbane,Single,Car,Secondary
191,35,Male,66887,S,Melbourne,Married,Car,Bachelor
192,32,Female,42379,S,Perth,Married,Car,Bachelor
193,42,Female,81248,M,Melbourne,Divorced,Bicycle,Secondary
194,52,Female,56953,S,Perth,Single,Train,Secondary
195,31,Male,47184,L,Perth,Divorced,Train,Masters
196,54,Female,82201,L,Perth,Single,Car,Masters
197,47,Female,80760,S,Brisbane,Divorced,Bus,Secondary
198,60,Male,66750,M,Melbourne,Married,Train,Masters
199,58,Female,40479,L,Brisbane,Married,Train,Masters
200,21,Female,17621,L,Perth,Divorced,Car,Masters
201,42,Male,82817,L,Perth,Divorced,Train,Masters
202,30,Male,18544,M,Perth,Single,Train,Secondary
203,20,Male,17970,S,Sydney,Single,Bicycle,Secondary
204,53,Female,67645,M,Brisbane,Divorced,Bus,PhD
205,32,Female,16855,M,Sydney,Married,Car,Masters
206,45,Female,99674,M,Sydney,Single,Train,Secondary
207,33,Male,70305,L,Brisbane,Single,Bus,Bachelor
208,30,Male,62742,L,Melbourne,Single,Train,Secondary
209,47,Male,46101,L,Brisbane,Married,Car,Bachelor
210,46,Male,45754,S,Perth,Divorced,Bicycle,Bachelor
211,40,Male,63214,S,Perth,Single,Bus,PhD
212,36,Female,34725,L,Perth,Divorced,Car,Masters
213,50,Female,45259,M,Sydney,Divorced,Bus,Secondary
214,20,Female,37633,M,Sydney,Divorced,Bus,PhD
215,30,Female,99603,S,Brisbane,Divorced,Bus,Masters
216,47,Male,45611,M,Melbourne,Divorced,Car,Bachelor
217,34,Male,96075,S,Perth,Divorced,Train,Secondary
218,37,Male,49291,M,Sydney,Single,Bus,Masters
219,46,Male,38506,M,Brisbane,Single,Bus,Masters
220,27,Male,46678,S,Melbourne,Single,Bicycle,Bachelor
221,30,Female,69726,S,Perth,Divorced,Bus,Bachelor
222,36,Male,18532,S,Perth,Married,Bicycle,Secondary
223,43,Male,82008,S,Perth,Divorced,Bicycle,Masters
224,20,Male,47900,S,Sydney,Divorced,Bicycle,Bachelor
225,22,Male,71545,M,Brisbane,Divorced,Bicycle,Masters
226,18,Male,98625,L,Brisbane,Divorced,Bicycle,Bachelor
227,56,Female,43211,S,Sydney,Divorced,Bus,Bachelor
228,39,Male,34510,S,Brisbane,Single,Bus,PhD
229,40,Female,18898,M,Sydney,Married,Car,Masters
230,48,Male,86237,S,Brisbane,Single,Car,Bachelor
231,32,Female,98213,S,Sydney,Single,Train,Secondary
232,55,Male,82775,M,Melbourne,Single,Bicycle,Secondary
233,30,Female,83758,L,Brisbane,Single,Bicycle,Bachelor
234,32,Female,49423,L,Perth,Divorced,Bus,Bachelor
235,59,Female,24008,M,Melbourne,Married,Bicycle,Secondary
236,47,Male,34886,L,Perth,Married,Car,PhD
237,26,Female,95719,S,Perth,Divorced,Train,Masters
238,51,Male,37127,S,Perth,Divorced,Car,Bachelor
239,59,Female,51876,S,Perth,Single,Train,Bachelor
240,58,Female,62782,M,Perth,Married,Bus,Secondary
241,51,Female,25799,S,Brisbane,Divorced,Bicycle,Bachelor
242,42,Female,78566,S,Melbourne,Married,Bus,PhD
243,25,Male,50533,M,Melbourne,Single,Car,Masters
244,37,Male,41112,S,Brisbane,Married,Train,Secondary
245,30,Male,62492,M,Brisbane,Married,Bicycle,PhD
246,41,Female,21730,M,Melbourne,Single,Train,Secondary
247,37,Female,60775,S,Sydney,Single,Train,Secondary
248,25,Female,47487,L,Perth,Single,Bicycle,Masters
249,49,Male,66872,L,Sydney,Married,Car,Masters
250,21,Male,86538,M,Brisbane,Married,Bus,Bachelor
251,49,Male,40608,M,Brisbane,Single,Car,Masters
252,29,Female,74046,M,Perth,Married,Train,PhD
253,26,Female,33508,S,Melbourne,Single,Train,Bachelor
254,42,Female,50812,S,Perth,Divorced,Bus,Bachelor
255,36,Male,65446,M,Melbourne,Married,Bus,Bachelor
256,57,Male,55220,L,Melbourne,Married,Train,PhD
257,42,Male,93293,M,Perth,Married,Bus,Bachelor
258,25,Female,71556,S,Melbourne,Married,Car,Secondary
259,32,Male,92355,L,Melbourne,Married,Bicycle,Bachelor
260,28,Male,97455,M,Melbourne,Married,Bus,Bachelor
261,46,Female,27945,S,Melbourne,Divorced,Bus,Masters
262,38,Female,38341,M,Sydney,Single,Car,Secondary
263,50,Male,50962,M,Perth,Single,Train,PhD
264,39,Male,73474,M,Sydney,Divorced,Car,Secondary
265,40,Female,15195,L,Melbourne,Married,Bus,Secondary
266,57,Male,31337,M,Sydney,Single,Bicycle,Masters
267,56,Female,23254,L,Melbourne,Divorced,Bus,PhD
268,58,Male,37614,M,Melbourne,Married,Bicycle,Masters
269,48,Female,20441,M,Perth,Divorced,Car,Masters
270,48,Female,46080,M,Melbourne,Married,Train,PhD
271,40,Female,40455,L,Brisbane,Married,Bicycle,Masters
272,30,Female,77901,L,Melbourne,Single,Train,Bachelor
273,27,Female,70389,M,Perth,Married,Train,PhD
274,34,Female,99154,L,Perth,Divorced,Train,Masters
275,39,Female,86193,M,Melbourne,Single,Car,Masters
276,28,Male,95124,L,Brisbane,Married,Car,Bachelor
277,40,Male,42529,M,Sydney,Single,Bus,Secondary
278,60,Female,98672,L,Perth,Single,Bus,Masters
279,35,Male,71704,S,Perth,Single,Bus,PhD
280,29,Male,39493,S,Perth,Married,Train,PhD
281,53,Female,36994,S,Brisbane,Married,Train,Bachelor
282,49,Female,94708,M,Brisbane,Single,Bus,PhD
283,39,Female,71257,S,Melbourne,Married,Bicycle,Secondary
284,31,Male,46100,S,Brisbane,Divorced,Car,Masters
285,25,Male,18951,S,Melbourne,Divorced,Bicycle,PhD
286,48,Male,33795,L,Perth,Divorced,Bus,Secondary
287,58,Male,35815,M,Brisbane,Divorced,Train,Secondary
288,56,Female,50646,M,Sydney,Single,Bus,Secondary
289,36,Male,90329,L,Perth,Married,Train,Masters
290,31,Male,76051,S,Brisbane,Married,Train,Secondary
291,19,Male,70614,S,Brisbane,Single,Car,Bachelor
292,31,Male,34120,S,Brisbane,Divorced,Bicycle,Masters
293,32,Male,78627,S,Sydney,Divorced,Bus,Masters
294,50,Female,35798,L,Sydney,Divorced,Train,Secondary
295,28,Male,55934,S,Sydney,Single,Train,Masters
296,19,Male,38954,L,Perth,Single,Car,Bachelor
297,37,Female,35124,L,Melbourne,Married,Bus,Bachelor
298,59,Female,82322,S,Perth,Married,Train,Bachelor
299,23,Female,69450,M,Brisbane,Divorced,Train,Secondary
300,38,Female,40613,L,Melbourne,Divorced,Bus,Bachelor
301,47,Male,77561,L,Brisbane,Married,Bicycle,PhD
302,33,Female,27342,L,Melbourne,Married,Train,Bachelor
303,60,Male,80241,S,Perth,Married,Bicycle,PhD
304,21,Female,64925,L,Melbourne,Single,Train,PhD
305,28,Female,12121,L,Melbourne,Married,Bicycle,Bachelor
306,36,Female,40341,S,Sydney,Married,Car,Masters
307,24,Male,65225,L,Melbourne,Single,Bus,Secondary
308,52,Female,68548,M,Melbourne,Single,Bicycle,Masters
309,32,Male,69518,M,Perth,Single,Bicycle,PhD
310,50,Female,65056,S,Melbourne,Divorced,Bus,Bachelor
311,48,Female,67217,L,Brisbane,Divorced,Bus,Bachelor
312,38,Female,90164,L,Brisbane,Single,Train,PhD
313,46,Male,77124,M,Melbourne,Married,Car,PhD
314,25,Male,69874,S,Melbourne,Married,Train,Bachelor
315,22,Male,44095,L,Melbourne,Single,Bus,Secondary
316,34,Female,17416,M,Melbourne,Divorced,Bicycle,Bachelor
317,42,Female,37332,L,Sydney,Married,Bus,PhD
318,55,Male,26112,L,Perth,Single,Car,Bachelor
319,52,Male,79796,M,Sydney,Married,Bicycle,Secondary
320,33,Female,37701,S,Brisbane,Married,Car,Secondary
321,56,Female,77437,L,Melbourne,Divorced,Bicycle,Masters
322,39,Female,24693,S,Sydney,Married,Car,Secondary
323,40,Female,26593,M,Sydney,Divorced,Car,Secondary
324,52,Male,81057,M,Melbourne,Divorced,Bus,Bachelor
325,49,Male,66770,S,Melbourne,Single,Car,Secondary
326,44,Female,54702,M,Perth,Married,Car,Secondary
327,42,Female,90706,L,Perth,Married,Car,Bachelor
328,56,Female,79500,S,Perth,Single,Train,PhD
329,22,Female,28567,L,Brisbane,Single,Bicycle,Masters
330,51,Female,56729,S,Melbourne,Single,Train,PhD
331,44,Male,74215,M,Perth,Divorced,Bus,Secondary
332,50,Female,62783,L,Brisbane,Divorced,Car,Masters
333,34,Female,49439,L,Perth,Single,Train,Bachelor
334,43,Male,50020,L,Sydney,Married,Car,Secondary
335,41,Male,24272,S,Brisbane,Divorced,Bicycle,Bachelor
336,60,Female,97404,M,Melbourne,Divorced,Bicycle,PhD
337,31,Male,71763,L,Sydney,Married,Bus,Bachelor
338,28,Female,64868,S,Brisbane,Married,Train,Secondary
339,50,Female,44015,S,Melbourne,Married,Bicycle,Bachelor
340,29,Female,46518,S,Perth,Divorced,Bicycle,Secondary
341,20,Male,19878,L,Perth,Married,Bicycle,Secondary
342,28,Male,38645,L,Melbourne,Married,Bicycle,PhD
343,42,Male,21987,M,Perth,Divorced,Train,PhD
344,46,Male,12544,M,Perth,Married,Bicycle,Secondary
345,26,Female,62644,L,Brisbane,Single,Bicycle,Secondary
346,39,Female,37972,L,Sydney,Divorced,Train,Masters
347,38,Female,12012,S,Sydney,Divorced,Bus,Bachelor
348,40,Female,24174,S,Perth,Married,Train,Masters
349,49,Male,89508,L,Brisbane,Divorced,Bus,Secondary
350,34,Female,66489,L,Brisbane,Divorced,Bicycle,PhD
351,57,Female,28954,S,Perth,Married,Bicycle,Masters
352,57,Male,26402,S,Melbourne,Divorced,Bus,Masters
353,25,Female,12226,L,Melbourne,Divorced,Bicycle,Bachelor
354,56,Female,53773,M,Melbourne,Divorced,Bus,Masters
355,40,Male,37974,S,Melbourne,Married,Bus,Masters
356,31,Female,32525,M,Perth,Divorced,Bicycle,PhD
357,41,Male,37633,S,Sydney,Single,Bus,PhD
358,48,Male,93954,L,Melbourne,Single,Bus,Bachelor
359,32,Female,18021,L,Sydney,Single,Bus,Masters
360,24,Male,46675,M,Sydney,Married,Car,Masters
361,43,Male,90237,M,Melbourne,Single,Train,PhD
362,57,Female,44509,S,Perth,Single,Car,PhD
363,57,Male,23758,S,Sydney,Divorced,Bicycle,Masters
364,39,Male,40866,L,Sydney,Married,Bicycle,Bachelor
365,42,Male,30511,M,Perth,Divorced,Train,Secondary
366,49,Male,37513,M,Perth,Divorced,Bicycle,Masters
367,60,Male,83601,L,Brisbane,Single,Bicycle,Secondary
368,49,Female,37178,M,Sydney,Divorced,Train,Masters
369,32,Female,73542,S,Melbourne,Single,Bus,Masters
370,30,Female,13314,L,Melbourne,Single,Bicycle,PhD
371,58,Male,24408,S,Brisbane,Married,Bicycle,PhD
372,45,Female,21272,L,Melbourne,Single,Car,Bachelor
373,35,Female,38879,L,Perth,Married,Car,Secondary
374,29,Male,83020,L,Brisbane,Single,Bus,Bachelor
375,35,Female,46597,S,Brisbane,Divorced,Train,Secondary
376,49,Male,21293,M,Sydney,Divorced,Car,PhD
377,40,Male,78860,M,Melbourne,Married,Bus,PhD
378,34,Female,39767,L,Sydney,Married,Car,Masters
379,56,Female,70576,L,Perth,Single,Bus,PhD
380,27,Female,52159,M,Brisbane,Single,Train,Masters
381,21,Male,96277,S,Melbourne,Divorced,Bicycle,Bachelor
382,53,Female,43122,M,Brisbane,Single,Bus,Bachelor
383,20,Female,52381,L,Brisbane,Divorced,Train,Secondary
384,24,Female,22417,M,Melbourne,Single,Car,Masters
385,59,Male,31950,M,Sydney,Divorced,Bus,Secondary
386,47,Male,60095,L,Perth,Married,Car,Masters
387,20,Male,50878,M,Perth,Divorced,Train,Bachelor
388,18,Male,12788,S,Melbourne,Married,Train,Secondary
389,18,Male,11509,M,Perth,Single,Car,Bachelor
390,26,Male,70074,S,Melbourne,Married,Bicycle,Secondary
391,49,Male,49022,L,Sydney,Married,Car,Masters
392,34,Male,15016,L,Sydney,Single,Bicycle,Masters
393,32,Female,16783,L,Sydney,Married,Car,Bachelor
394,18,Female,20404,M,Sydney,Married,Car,Masters
395,33,Male,42600,S,Sydney,Single,Train,Secondary
396,38,Male,32482,L,Perth,Married,Train,Secondary
397,54,Male,68302,L,Sydney,Single,Bicycle,Bachelor
398,55,Male,23032,L,Perth,Single,Bus,Secondary
399,37,Male,68561,S,Melbourne,Divorced,Train,Bachelor
400,49,Male,56152,S,Perth,Single,Train,PhD
401,53,Male,83917,L,Sydney,Divorced,Bus,Bachelor
402,31,Male,72969,S,Brisbane,Single,Bicycle,Secondary
403,39,Female,57248,M,Sydney,Married,Bus,Masters
404,33,Female,37394,S,Perth,Married,Car,Secondary
405,35,Male,86182,M,Perth,Single,Train,Bachelor
406,26,Female,24364,L,Brisbane,Single,Bus,PhD
407,42,Male,35901,M,Brisbane,Single,Train,Masters
408,59,Female,65615,M,Perth,Married,Car,Masters
409,36,Male,87971,L,Brisbane,Divorced,Bus,Bachelor
410,35,Female,50231,M,Brisbane,Divorced,Bus,Secondary
411,53,Male,33194,S,Sydney,Single,Bicycle,Secondary
412,47,Female,53303,M,Sydney,Single,Bus,Bachelor
413,60,Female,39261,S,Perth,Married,Bus,Bachelor
414,35,Female,33401,M,Brisbane,Single,Bus,Masters
415,40,Female,72909,S,Brisbane,Married,Train,Masters
416,23,Male,72347,S,Perth,Single,Train,Masters
417,53,Male,32923,S,Perth,Married,Bus,PhD
418,40,Female,73343,M,Sydney,Divorced,Bus,Secondary
419,53,Female,50085,L,Brisbane,Divorced,Train,Secondary
420,24,Male,64563,L,Melbourne,Divorced,Car,PhD
421,22,Male,15773,L,Melbourne,Married,Bicycle,Secondary
422,22,Female,45398,L,Sydney,Single,Car,Secondary
423,52,Male,89957,S,Brisbane,Married,Bus,Bachelor
424,55,Female,28546,M,Perth,Single,Bus,Masters
425,25,Male,26327,S,Sydney,Single,Bus,Secondary
426,36,Female,40831,L,Brisbane,Divorced,Bus,Bachelor
427,20,Male,36240,L,Brisbane,Married,Train,PhD
428,51,Female,50600,S,Melbourne,Divorced,Train,PhD
429,50,Female,45960,L,Sydney,Married,Train,PhD
430,19,Male,88770,M,Melbourne,Divorced,Bicycle,Secondary
431,57,Female,89394,L,Melbourne,Single,Bus,Secondary
432,55,Female,91263,S,Brisbane,Divorced,Car,Bachelor
433,54,Male,47948,S,Brisbane,Divorced,Bicycle,Masters
434,48,Female,80491,M,Brisbane,Married,Car,PhD
435,24,Female,21022,M,Brisbane,Divorced,Bicycle,Bachelor
436,21,Female,81571,L,Brisbane,Single,Bus,Secondary
437,55,Male,90064,L,Melbourne,Single,Train,Secondary
438,29,Male,31305,M,Perth,Married,Bus,Masters
439,43,Male,19068,M,Melbourne,Divorced,Car,Masters
440,30,Male,19512,S,Melbourne,Divorced,Car,Bachelor
441,46,Female,80896,L,Melbourne,Divorced,Bus,PhD
442,42,Female,25472,S,Sydney,Divorced,Bus,PhD
443,60,Female,76282,M,Brisbane,Single,Bus,Bachelor
444,58,Female,13162,L,Melbourne,Single,Bus,Secondary
445,26,Female,86457,L,Melbourne,Single,Bicycle,Bachelor
446,57,Male,33700,L,Sydney,Married,Bus,Masters
447,20,Male,62027,M,Brisbane,Single,Bicycle,Secondary
448,35,Female,48516,M,Sydney,Married,Bus,Bachelor
449,38,Female,59479,S,Sydney,Single,Bus,Bachelor
450,56,Male,54922,L,Perth,Divorced,Car,Bachelor
451,23,Female,81534,L,Brisbane,Single,Bus,Masters
452,36,Female,14692,L,Sydney,Divorced,Train,Bachelor
453,19,Male,78112,S,Melbourne,Married,Bicycle,Bachelor
454,52,Female,31606,L,Sydney,Divorced,Train,Masters
455,20,Female,90890,L,Melbourne,Single,Car,Bachelor
456,34,Male,10455,M,Brisbane,Married,Car,Bachelor
457,20,Male,80102,M,Brisbane,Divorced,Train,PhD
458,43,Female,81213,S,Sydney,Married,Car,Masters
459,38,Female,88243,L,Brisbane,Married,Car,Masters
460,27,Female,33034,M,Sydney,Single,Bicycle,Masters
461,24,Male,54984,S,Brisbane,Single,Bicycle,Secondary
462,40,Female,38723,S,Melbourne,Married,Bicycle,Secondary
463,43,Male,35048,S,Perth,Married,Bus,Secondary
464,44,Male,39028,M,Melbourne,Married,Bicycle,PhD
465,46,Male,69481,M,Melbourne,Divorced,Bicycle,Bachelor
466,50,Male,48039,M,Sydney,Divorced,Train,Secondary
467,52,Male,88434,S,Brisbane,Single,Bicycle,Secondary
468,27,Female,59718,M,Brisbane,Divorced,Car,PhD
469,34,Male,24327,L,Brisbane,Single,Bicycle,Masters
